page,name,link,thumbnail,rating,date,snippet,images,local_guide
3,Rijalul halimi,https://www.google.com/maps/contrib/102910235856503153176?hl=id,https://lh3.googleusercontent.com/a-/ALV-UjU2x5Q5awt26_tJ31u-NrEi-zdQOjB6iOWriy5q_Qk5NnHdIvZN=s120-c-rp-mo-ba4-br100,5.0,4 tahun lalu,"Universitas swasta yang berada dipusat ibukota. Teatnya di Jakarta Selatan. Waktu tempuh hanya 5 menit dari Stadion GBK. Fasilitas cukup lengkap.Parkir luas motor dan mobil. Terdapat 15 Jurusan disini dari mulai sosial dan saintek yang berfokus didunia migas. Terdapat gedung Rektorat, Gedung Belajar mengajar, Gedung lboratorium, GOR, Kolam Renang dll.",,True
3,Distorsi Pikiran,https://www.google.com/maps/contrib/100371630331355037759?hl=id,https://lh3.googleusercontent.com/a-/ALV-UjXATuxGIiKYP6R_Z1IpVpMTWgls-e9Rzo1M3eIguUF2oULRTOGo=s120-c-rp-mo-ba4-br100,4.0,6 tahun lalu,"A very good place compare to my university 😃
Sangat cozy dan banyak tempat untuk duduk. Ada Masjid besar, ada Musholah, di setiap lantai ada musholla walupun hanya berbentuk ruangan kecil.
Sayang saja karpet dan mukena seperti tidak pernah di cuci. Bikin gatal.",,True
3,misa rohaji,https://www.google.com/maps/contrib/112587375033724946120?hl=id,https://lh3.googleusercontent.com/a-/ALV-UjW2JuEIeCpQZUPUHr3JHcViP75aegxNcYlupwGYHmv3ouRyASij=s120-c-rp-mo-ba5-br100,2.0,2 tahun lalu,Kecewa sama petugas parkirnya hari ini tanggal 15januari2022 ga dikasih struk parkir...tiba2 dkenai biaya pas 5rb pdhl cuma drop off aja...sbnrnya parkiran cuma drop emang kena parkir ya?next karcis parkir hrs dberi kepengendara .....,,True
3,Puspa Nur Afifah,https://www.google.com/maps/contrib/109083715005534546023?hl=id,https://lh3.googleusercontent.com/a-/ALV-UjWQjE9YOGPyNvdrD1CnTgOg6KN_nUMy6ZAgFjdg_4qq4Wff8J60=s120-c-rp-mo-ba5-br100,4.0,6 tahun lalu,"Tempat nya luas dan bagus, sepertinya ruang dosen terpusat di gedung rektorat, bahkan ada juga ruang kelas di dalam gedung rektorat, makanan di kantin murah,  ada mushollah besar, sempet sholat di mushollah yang kecil tp air nya mati :( Satpam nya sangat ramah.",,True
3,I AM YAYAK,https://www.google.com/maps/contrib/105630202346603322325?hl=id,https://lh3.googleusercontent.com/a/ACg8ocJDc9f6CWhMogan0i9ksVEeFWmpDBxW-bUhxjeFdgtRUf-fXfg=s120-c-rp-mo-ba3-br100,5.0,3 tahun lalu,"setelah saya tinggal disini selama 1 tahun lebih, sepertinya akan menjadi kenangan yang paling indah dalam hidupku. karna saya di tempat ini bisa mengenal lebih banyak orang-orang. mungkin saya untuk ke depannya bisa menjadi pegawai tetap tidak seperti sekarang ini hanya pegaewai tahunan yang setiap tahunnya d perpanjang kontrak saya.",,True
3,Renna Sitanggang,https://www.google.com/maps/contrib/114688926739535421600?hl=id,https://lh3.googleusercontent.com/a-/ALV-UjX8OrOdxN1zSVNxucWI5Nim2_oUmNcpkQdG9ULRHlkPCtxWPj3i=s120-c-rp-mo-br100,2.0,6 tahun lalu,"Bulan April yg lalu tepatnya tanggalnya saya lupa anak saya ikut test di Medan dan dia menang .hari ini terakhir pelunasan biayanya dan kami tidak sanggup utk membayar.anak saya sangat sedih dan selalu murung..

Nama anak saya million Lumban raja",,
3,Zuliani Dalimunthe,https://www.google.com/maps/contrib/102961590084262289783?hl=id,https://lh3.googleusercontent.com/a-/ALV-UjU2wpQV475Wt3MenZzJciFgC8LfAgAsJDeNJJfSCuZiUzJDOx9yCg=s120-c-rp-mo-ba5-br100,4.0,6 tahun lalu,"Jalan menuju lokasi macet banget. Dari Depok better naik kereta ke St Kebayoran transit di St Tanah Abang. Hanya sekitar 3,5 km dari St Kebayoran...gampang naik go jek atau grab",,True
3,Dodoy Dozly,https://www.google.com/maps/contrib/108781165078772931936?hl=id,https://lh3.googleusercontent.com/a/ACg8ocIDj8iWfXrvpLwPdBRx3kMYg3h3goNFEgRvLbZvAd5DoT6IvQ=s120-c-rp-mo-br100,5.0,3 tahun lalu,"Kampus paling kren, selain di naungi nama besar Pertamina, universitas Pertamina juga di dukung dosen dosen muda berprestasi lulusan universitas ternama luar negri, terletak di tengah kota metropolitan Jakarta Selatan yang bebas banjir dan teduh, kampus ini di lengkapi dengan banyak fasilitas yang lengkap dan mewah. Mulai dari kolam renang, hotel , lapangan bola, hingga rumah sakit kusus covid.",,
4,Oh Rezky,https://www.google.com/maps/contrib/111329146588028103535?hl=id,https://lh3.googleusercontent.com/a-/ALV-UjWh0Nnrk73LBSewiB1fF3zDG6N1tWHJqGwuDpcE0_kANh8laze1=s120-c-rp-mo-ba3-br100,5.0,2 tahun lalu,"Mantap, Call Center nya gercep, Admin WA ramah fast respond saat ada masalah pengisian daftar kuliah. Keren banget",,True
4,Devi Dimitra Maksum,https://www.google.com/maps/contrib/101850866091059675918?hl=id,https://lh3.googleusercontent.com/a-/ALV-UjUpdcU7WARz2IQ4epQXWffHYLWcxDchom9sTvh0OPIfxvva2JF__A=s120-c-rp-mo-ba8-br100,4.0,6 tahun lalu,"Lokasi universitas ada di dalam kompleks khusus Pertamina. Bisa dicapai dengan bus Trans Jakarta. Tersedia Gelanggang Olah raga, residence dan kolam renang. Fasilitas dari gedung universitas tersambung dengan GOR. Musholla ditemukan diluar gedung universitas, dan toilet ada didalam gedung.  Lahan parkir tersedia cukup, tapi tidak banyak, karena harus berbagi dengan pengunjung lokasi lain. Kantin terpisah dari gedung universitas, di kantin tersedia banyak pilihan makanan.",,True
